"","phase","site","treatment","corner","azi","class","load"
"1720","prepct","waldon","hd","nw",180,"thoushr_r",105.332451472368
"1721","prepct","waldon","hd","se",270,"thoushr_r",17.2392643637847
"1722","prepct","waldon","hd","sw",0,"thoushr_s",4.11243896437129
"1723","prepct","waldon","hd","sw",90,"thoushr_s",7.95024216323077
"1724","prepct","waldon","ld","ne",180,"thoushr_r",8.06132712
"1725","prepct","waldon","ld","nw",90,"thoushr_r",16.4525105638364
"1726","prepct","waldon","ld","nw",90,"thoushr_s",77.5969703095511
"1727","prepct","waldon","ld","nw",180,"thoushr_r",11.2636556082564
"1728","prepct","waldon","ld","se",0,"thoushr_s",5.15512059059287
"1729","prepct","waldon","ld","se",270,"thoushr_s",5.76684425754968
"1730","prepct","waldon","ld","sw",90,"thoushr_s",7.96954130224731
"1731","prepct","waldos","gs","ne",180,"thoushr_r",4.26916201584077
"1732","prepct","waldos","gs","ne",180,"thoushr_s",8.9158300280851
"1733","prepct","waldos","gs","ne",270,"thoushr_r",4.87166368565303
"1734","prepct","waldos","gs","ne",270,"thoushr_s",31.4027676093146
"1735","prepct","waldos","gs","nw",90,"thoushr_r",15.701477342239
"1736","prepct","waldos","gs","nw",90,"thoushr_s",3.10707052998378
"1737","prepct","waldos","gs","nw",180,"thoushr_r",50.2308233146161
"1738","prepct","waldos","gs","nw",180,"thoushr_s",3.66436696767962
"1739","prepct","waldos","gs","se",0,"thoushr_r",17.6395517549545
"1740","prepct","waldos","gs","se",270,"thoushr_r",85.5053220892018
"1741","prepct","waldos","gs","se",270,"thoushr_s",194.879060915317
"1742","prepct","waldos","gs","sw",0,"thoushr_r",12.3927546353353
"1743","prepct","waldos","gs","sw",0,"thoushr_s",4.57786358907734
"1744","prepct","waldos","gs","sw",90,"thoushr_r",18.7333485993522
"1745","prepct","waldos","gs","sw",90,"thoushr_s",120.064051881282
"1746","prepct","waldos","ha","ne",180,"thoushr_r",10.1958556525993
"1747","prepct","waldos","ha","ne",180,"thoushr_s",68.7658682281729
"1748","prepct","waldos","ha","ne",270,"thoushr_r",54.5819848035329
"1749","prepct","waldos","ha","ne",270,"thoushr_s",31.6792539986779
"1750","prepct","waldos","ha","nw",90,"thoushr_s",592.655929303578
"1751","prepct","waldos","ha","nw",180,"thoushr_r",10.3620197283985
"1752","prepct","waldos","ha","nw",180,"thoushr_s",45.1861239887219
"1753","prepct","waldos","ha","se",0,"thoushr_s",17.7462860119788
"1754","prepct","waldos","ha","sw",0,"thoushr_r",39.2180646071914
"1755","prepct","waldos","ha","sw",0,"thoushr_s",19.4697942504349
"1756","prepct","waldos","hd","nw",90,"thoushr_s",43.8367519278141
"1757","prepct","waldos","hd","nw",180,"thoushr_s",42.5836660348521
"1758","prepct","waldos","hd","se",270,"thoushr_s",65.7201925533754
"1759","prepct","waldos","hd","sw",0,"thoushr_r",56.5573520165625
"1760","prepct","waldos","hd","sw",90,"thoushr_r",51.9339112475253
"1761","prepct","waldos","ld","ne",270,"thoushr_r",9.26563487240238
"1762","prepct","waldos","ld","nw",180,"thoushr_r",23.5150635816302
"1763","prepct","waldos","ld","sw",0,"thoushr_r",60.0794180698858
"1764","prepct","waldos","ld","sw",90,"thoushr_r",10.6957357056108
"1765","prepct","whiskey","gs","n",135,"thoushr_r",30.5769857833204
"1766","prepct","whiskey","gs","s",315,"thoushr_r",28.659040002716
"1767","prepct","whiskey","gs","s",315,"thoushr_s",22.8864472968393
"1768","prepct","whiskey","gs","w",45,"thoushr_s",18.376728
"1769","prepct","whiskey","ha","e",225,"thoushr_s",87.0299141292852
"1770","prepct","whiskey","ha","e",315,"thoushr_s",23.4776157412468
"1771","prepct","whiskey","ha","n",135,"thoushr_s",8.38119699035011
"1772","prepct","whiskey","ha","n",225,"thoushr_r",13.6737944274733
"1773","prepct","whiskey","ha","n",225,"thoushr_s",18.3915733517948
"1774","prepct","whiskey","ha","s",45,"thoushr_r",3.97339398288823
"1775","prepct","whiskey","ha","w",45,"thoushr_r",22.5295982716171
"1776","prepct","whiskey","ha","w",135,"thoushr_r",28.355367214009
"1777","prepct","whiskey","ha","w",135,"thoushr_s",5.05983097871698
"1778","prepct","whiskey","hd","e",225,"thoushr_r",73.3425368467855
"1779","prepct","whiskey","hd","e",225,"thoushr_s",106.377842109734
"1780","prepct","whiskey","hd","e",315,"thoushr_r",31.0672023090907
"1781","prepct","whiskey","hd","e",315,"thoushr_s",25.3197472590975
"1782","prepct","whiskey","hd","n",135,"thoushr_s",31.1524165563791
"1783","prepct","whiskey","hd","n",225,"thoushr_r",21.8292280278855
"1784","prepct","whiskey","hd","n",225,"thoushr_s",38.4813804706378
"1785","prepct","whiskey","hd","s",42,"thoushr_r",9.2540745
"1786","prepct","whiskey","hd","s",42,"thoushr_s",16.3124928
"1787","prepct","whiskey","hd","s",315,"thoushr_s",26.9316308605221
"1788","prepct","whiskey","hd","w",45,"thoushr_s",15.9128267430401
"1789","prepct","whiskey","hd","w",135,"thoushr_r",94.0769909316102
"1790","prepct","whiskey","ld","e",225,"thoushr_s",9.19606514950493
"1791","prepct","whiskey","ld","e",315,"thoushr_r",35.8683021060555
"1792","prepct","whiskey","ld","e",315,"thoushr_s",39.6223344462576
"1793","prepct","whiskey","ld","n",135,"thoushr_r",23.7757190627997
"1794","prepct","whiskey","ld","n",135,"thoushr_s",20.6632288161663
"1795","prepct","whiskey","ld","n",225,"thoushr_r",35.6648186424332
"1796","prepct","whiskey","ld","n",225,"thoushr_s",15.2965540606426
"1797","prepct","whiskey","ld","s",45,"thoushr_r",39.1475044347728
"1798","prepct","whiskey","ld","s",45,"thoushr_s",145.587416730916
"1799","prepct","whiskey","ld","s",315,"thoushr_r",41.8806696232588
"1800","prepct","whiskey","ld","s",315,"thoushr_s",17.9081861476247
"1801","prepct","whiskey","ld","w",45,"thoushr_r",172.288535261411
"1802","prepct","whiskey","ld","w",45,"thoushr_s",48.3358160519924
"1803","prepct","whiskey","ld","w",135,"thoushr_r",80.3344341366834
"1804","prepct","camp6","gs","s",45,"thoushr_s",0
"1805","prepct","camp6","gs","w",45,"thoushr_s",0
"1806","prepct","camp6","ha","w",45,"thoushr_s",0
"1807","prepct","camp6","ha","w",135,"thoushr_s",0
"1808","prepct","camp6","ha","n",135,"thoushr_s",0
"1809","prepct","camp6","ha","n",225,"thoushr_s",0
"1810","prepct","camp6","hd","s",45,"thoushr_s",0
"1811","prepct","camp6","hd","s",315,"thoushr_s",0
"1812","prepct","camp6","hd","n",225,"thoushr_s",0
"1813","prepct","camp6","hd","e",225,"thoushr_s",0
"1814","prepct","camp6","ld","e",315,"thoushr_s",0
"1815","prepct","waldon","ha","ne",180,"thoushr_s",0
"1816","prepct","waldon","ha","nw",180,"thoushr_s",0
"1817","prepct","waldon","ha","sw",6,"thoushr_s",0
"1818","prepct","waldon","hd","se",0,"thoushr_s",0
"1819","prepct","waldon","ld","sw",0,"thoushr_s",0
"1820","prepct","waldon","ld","ne",270,"thoushr_s",0
"1821","prepct","waldos","ha","sw",90,"thoushr_s",0
"1822","prepct","waldos","ha","se",270,"thoushr_s",0
"1823","prepct","waldos","hd","ne",180,"thoushr_s",0
"1824","prepct","waldos","hd","ne",270,"thoushr_s",0
"1825","prepct","waldos","hd","se",0,"thoushr_s",0
"1826","prepct","waldos","ld","nw",90,"thoushr_s",0
"1827","prepct","waldos","ld","ne",180,"thoushr_s",0
"1828","prepct","waldos","ld","se",0,"thoushr_s",0
"1829","prepct","waldos","ld","se",270,"thoushr_s",0
"1830","prepct","whiskey","gs","w",135,"thoushr_s",0
"1831","prepct","whiskey","gs","n",225,"thoushr_s",0
"1832","prepct","whiskey","gs","e",315,"thoushr_s",0
"1833","prepct","whiskey","gs","e",225,"thoushr_s",0
"1834","prepct","whiskey","gs","s",45,"thoushr_s",0
"1835","prepct","whiskey","ha","s",315,"thoushr_s",0
"1836","postpct","camp6","gs","e",0,"thoushr_s",0
"1837","postpct","camp6","ha","s",45,"thoushr_s",0
"1838","postpct","camp6","ha","n",225,"thoushr_s",0
"1839","postpct","camp6","ha","e",315,"thoushr_s",0
"1840","postpct","camp6","hd","w",42,"thoushr_s",0
"1841","postpct","camp6","hd","e",225,"thoushr_s",0
"1842","postpct","camp6","hd","s",315,"thoushr_s",0
"1843","postpct","camp6","hd","s",45,"thoushr_s",0
"1844","postpct","camp6","hd","n",225,"thoushr_s",0
"1845","postpct","camp6","ld","s",315,"thoushr_s",0
"1846","postpct","waldon","gs","w",45,"thoushr_s",0
"1847","postpct","waldon","ha","sw",90,"thoushr_s",0
"1848","postpct","waldon","ha","nw",90,"thoushr_s",0
"1849","postpct","waldon","ha","nw",180,"thoushr_s",0
"1850","postpct","waldon","hd","nw",90,"thoushr_s",0
"1851","postpct","waldon","hd","sw",90,"thoushr_s",0
"1852","postpct","waldon","hd","se",270,"thoushr_s",0
"1853","postpct","waldon","hd","se",0,"thoushr_s",0
"1854","postpct","waldos","ha","se",0,"thoushr_s",0
"1855","postpct","waldos","ha","nw",180,"thoushr_s",0
"1856","postpct","waldos","hd","nw",90,"thoushr_s",0
"1857","postpct","waldos","hd","ne",270,"thoushr_s",0
"1858","postpct","waldos","hd","ne",180,"thoushr_s",0
"1859","postpct","waldos","hd","se",0,"thoushr_s",0
"1860","postpct","waldos","ld","ne",180,"thoushr_s",0
"1861","postpct","waldos","ld","nw",90,"thoushr_s",0
"1862","postpct","whiskey","gs","s",45,"thoushr_s",0
"1863","postpct","whiskey","gs","s",315,"thoushr_s",0
"1864","postpct","whiskey","gs","e",225,"thoushr_s",0
"1865","postpct","whiskey","gs","e",315,"thoushr_s",0
"1866","postpct","whiskey","ha","s",315,"thoushr_s",0
"1867","postpct","whiskey","hd","n",135,"thoushr_s",0
"1868","postpct","whiskey","hd","s",36,"thoushr_s",0
