"","phase","site","treatment","corner","azi","station","duff_depth","litter_depth","load"
"470","postpct","whiskey","ha","w",45,"2",0.45,4.05,34.785
"471","postpct","whiskey","ha","w",135,"1",0,1,7.73
"472","postpct","whiskey","ha","w",135,"2",0.0750000000000001,1.425,11.595
"473","postpct","whiskey","ha","n",135,"1",1.6,6.4,61.84
"474","postpct","whiskey","ha","n",135,"2",3,3,46.38
"475","postpct","whiskey","ha","n",225,"1",0.2,1.8,15.46
"476","postpct","whiskey","ha","n",225,"2",2.4,5.6,61.84
"477","postpct","whiskey","ha","e",225,"1",8,8,123.68
"478","postpct","whiskey","ha","e",225,"2",0.8,1.2,15.46
"479","postpct","whiskey","ha","e",315,"1",0.1,0.9,7.73
"480","postpct","whiskey","ha","e",315,"2",0,1,7.73
"481","postpct","whiskey","hd","w",45,"1",12.6,5.4,139.14
"482","postpct","whiskey","hd","w",45,"2",2.4,9.6,92.76
"483","postpct","whiskey","hd","w",135,"1",8.8,2.2,85.03
"484","postpct","whiskey","hd","w",135,"2",1.8,16.2,139.14
"485","postpct","whiskey","hd","n",135,"1",1.8,16.2,139.14
"486","postpct","whiskey","hd","n",135,"2",0.15,2.85,23.19
"487","postpct","whiskey","hd","n",225,"1",0,2,15.46
"488","postpct","whiskey","hd","n",225,"2",6,14,154.6
"489","postpct","whiskey","hd","e",225,"1",12,3,115.95
"490","postpct","whiskey","hd","e",225,"2",7.65,0.85,65.705
"491","postpct","whiskey","hd","e",315,"1",0.4,3.6,30.92
"492","postpct","whiskey","hd","e",315,"2",4,4,61.84
"493","postpct","whiskey","hd","s",315,"1",18.7,3.3,170.06
"494","postpct","whiskey","hd","s",315,"2",2.25,6.75,69.57
"495","postpct","whiskey","hd","s",36,"1",0.2,1.8,15.46
"496","postpct","whiskey","hd","s",36,"2",6.75,0.75,57.975
"497","postpct","whiskey","ld","w",45,"1",22.4,5.6,216.44
"498","postpct","whiskey","ld","w",45,"2",10.5,3.5,108.22
"499","postpct","whiskey","ld","w",135,"1",12,4,123.68
"500","postpct","whiskey","ld","w",135,"2",19.55,3.45,177.79
"501","postpct","whiskey","ld","n",135,"1",1,4,38.65
"502","postpct","whiskey","ld","n",135,"2",2.4,5.6,61.84
"503","postpct","whiskey","ld","n",225,"1",4.9,2.1,54.11
"504","postpct","whiskey","ld","n",225,"2",0,3,23.19
"505","postpct","whiskey","ld","e",225,"1",8.1,5.4,104.355
"506","postpct","whiskey","ld","e",225,"2",1,9,77.3
"507","postpct","whiskey","ld","e",315,"1",9.35,1.65,85.03
"508","postpct","whiskey","ld","e",315,"2",4,4,61.84
"509","postpct","whiskey","ld","s",315,"1",4.5,10.5,115.95
"510","postpct","whiskey","ld","s",315,"2",7.8,5.2,100.49
"511","postpct","whiskey","ld","s",45,"1",9,1,77.3
"512","postpct","whiskey","ld","s",45,"2",9.6,6.4,123.68
